,DataType,#Nulls,#Uniques,Min,Mean,Max,Std,top10 val,top10 cnt,top10 raito
ID_code,object,0,200000,,,,,"['test_135347', 'test_84889', 'test_12786', 'test_71487', 'test_144312', 'test_54448', 'test_3896', 'test_34211', 'test_142052', 'test_133870']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
var_0,float64,0,65580,0.1887,10.658737106499814,22.3234,3.0367155808198913,"[9.5368, 9.7369, 12.4317, 9.9076, 10.4597, 12.6769, 8.1372, 10.0993, 9.7212, 12.9199]","[20, 18, 18, 18, 18, 17, 17, 16, 16, 16]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
var_1,float64,0,71661,-15.0434,-1.6242437800000011,9.3851,4.040509145134395,"[-3.66, -5.0183, 0.9025, 0.9909, -0.5942, 1.1144, -2.6537, 0.6364, -5.0788, -0.3577]","[18, 17, 17, 16, 16, 15, 15, 15, 15, 15]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
var_2,float64,0,61865,2.3552,10.707451979500098,18.7141,2.633888454459103,"[10.3544, 9.656, 12.2659, 10.1302, 10.1724, 12.479000000000001, 12.7092, 9.7419, 9.4788, 9.6339]","[21, 20, 20, 19, 19, 18, 17, 17, 17, 17]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
var_3,float64,0,56507,-0.0224,6.788213908500028,13.142000000000001,2.0527236594148444,"[8.5594, 6.867000000000001, 5.6693, 7.1706, 4.3321, 4.4382, 9.0251, 7.1499, 8.5396, 8.3539]","[22, 21, 21, 21, 21, 21, 20, 20, 20, 20]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
var_4,float64,0,49995,5.4844,11.076399133000201,16.0371,1.6164562020249658,"[10.8383, 12.030999999999999, 11.7222, 10.4904, 11.0301, 10.8642, 12.5075, 10.6664, 9.3588, 9.1738]","[24, 24, 24, 24, 22, 22, 22, 20, 20, 20]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
var_5,float64,0,83228,-27.767,-5.05055772899984,17.2537,7.86929301037157,"[-11.9289, -8.7608, 0.1389, 2.1134, -2.7652, -14.7718, -17.1736, 1.6189, 0.841, 1.1333]","[16, 14, 14, 14, 13, 13, 13, 13, 13, 13]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
var_6,float64,0,33273,2.2164,5.415164112499948,8.3025,0.8646861316394268,"[5.797999999999999, 5.1286, 4.9295, 5.3825, 5.9165, 5.6935, 4.8215, 5.9699, 5.1416, 5.8629999999999995]","[33, 33, 29, 29, 29, 29, 29, 28, 28, 28]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
var_7,float64,0,69487,5.7137,16.529142737500187,28.2928,3.4244818156142665,"[12.1081, 14.8982, 14.7095, 16.5933, 13.1351, 15.5055, 19.9335, 14.6237, 14.9274, 17.9174]","[18, 17, 17, 16, 16, 16, 15, 15, 15, 15]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
var_8,float64,0,67521,-9.956,0.27713482600000455,9.6655,3.3333749336096177,"[-0.0851, 3.6147, -2.5998, -2.3292, 2.1987, -1.4872, -1.4197, -0.2932, 2.1856, 5.2209]","[21, 19, 17, 17, 17, 16, 16, 16, 16, 16]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
var_9,float64,0,41583,4.2433,7.569407457999987,11.0036,1.2318654731380745,"[8.6081, 7.5642, 7.7048, 7.5787, 7.5074, 7.9745, 8.4871, 7.8253, 8.5373, 8.3126]","[28, 27, 26, 25, 25, 24, 23, 23, 22, 22]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
var_10,float64,0,79221,-22.6724,0.3713349949999954,20.2145,5.508661267539324,"[4.9549, -1.8332, -1.0131, 0.4852, 4.0173, 5.1138, 3.2704, 5.2112, -3.0926, -1.225]","[17, 16, 15, 15, 15, 15, 15, 15, 14, 14]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
var_11,float64,0,79749,-25.8118,-3.2685512850000973,16.7713,5.961443374136013,"[0.2551, -7.1323, -0.4953, -9.5813, -11.6534, -2.3053, -5.0742, 4.0428, -1.1033, 6.4885]","[18, 16, 15, 15, 14, 14, 14, 14, 14, 14]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
var_12,float64,0,9121,13.4245,14.022661509500194,14.682,0.19007051716913018,"[13.5546, 13.5547, 13.5544, 13.5545, 13.5542, 13.5549, 13.5543, 13.5548, 13.555, 13.554]","[188, 184, 169, 166, 147, 144, 143, 140, 127, 116]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
var_13,float64,0,74037,-4.7413,8.540871979500022,21.6051,4.628711994084442,"[7.9855, 4.7192, 11.7888, 8.1456, 4.0915, 6.1484, 11.4856, 5.5329, 5.0685, 9.7136]","[16, 16, 16, 16, 14, 14, 14, 14, 14, 14]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
var_14,float64,0,58951,0.6703,7.532702661500269,14.7231,2.2552571730958872,"[8.262, 7.587999999999999, 6.9508, 7.1013, 8.0912, 5.5617, 7.5226, 8.3192, 5.4835, 7.5101]","[20, 19, 19, 18, 18, 18, 18, 18, 18, 18]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
var_15,float64,0,18253,13.2034,14.573703905999949,15.798,0.41159184149964245,"[14.6942, 14.497, 14.235999999999999, 14.3625, 14.6043, 14.6542, 14.4521, 14.8667, 14.7924, 14.5562]","[47, 45, 45, 45, 44, 42, 42, 41, 40, 40]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
var_16,float64,0,61906,0.3143,9.321668816500038,17.3687,2.5448602643760263,"[10.0245, 9.056000000000001, 8.9742, 10.7696, 10.8424, 8.2356, 10.7625, 10.7856, 9.044, 9.4861]","[21, 20, 19, 18, 18, 18, 18, 18, 18, 18]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
var_17,float64,0,82518,-28.9069,-5.704449781999992,19.1509,6.7464599821545255,"[-8.4267, -3.3492, -2.9667, -4.6530000000000005, -11.9863, -8.2951, -9.7501, -8.0121, -8.9295, -3.7528]","[14, 13, 13, 13, 13, 13, 13, 13, 12, 12]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
var_18,float64,0,82682,-11.3242,15.265776456000207,38.929,7.846982723874893,"[7.2567, 9.6811, 10.7777, 23.2442, 21.9984, 13.6467, 13.5074, 20.069000000000003, 19.0089, 10.9476]","[16, 15, 14, 14, 14, 14, 14, 14, 14, 13]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
var_19,float64,0,84370,-12.6994,12.45667477999948,35.4323,7.989812171089206,"[9.0209, 20.5091, 7.8004, 18.0699, 7.405, 7.9169, 23.4041, 14.2125, 13.2679, 3.5522]","[16, 15, 14, 14, 14, 13, 13, 13, 13, 12]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
var_20,float64,0,78645,-2.6346,13.298428219000003,32.0758,5.884244785839411,"[15.3813, 19.45, 7.313, 11.413, 9.1443, 15.1238, 15.9048, 6.4476, 8.8201, 7.8845]","[17, 16, 15, 15, 15, 14, 14, 14, 14, 14]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
var_21,float64,0,82738,-9.9406,17.23059785400028,47.4179,8.199876815009505,"[16.8568, 17.5188, 19.2913, 19.1377, 21.5109, 10.2934, 16.9593, 10.4393, 11.9696, 12.1196]","[14, 14, 13, 13, 13, 13, 13, 13, 13, 13]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
var_22,float64,0,63855,-5.164,4.299010464000028,14.0426,2.844022638664955,"[6.4599, 4.86, 3.9621, 6.1994, 2.6227, 3.6239, 5.5920000000000005, 5.2143, 3.7089, 4.1631]","[18, 18, 18, 18, 17, 17, 17, 17, 17, 17]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
var_23,float64,0,22619,1.3906,3.019706811999991,5.0246,0.5279509567415961,"[2.9221, 2.7524, 2.8214, 3.2175, 2.8124, 2.7012, 3.344, 3.1955, 3.0724, 3.4141]","[50, 48, 42, 42, 41, 40, 38, 37, 36, 36]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
var_24,float64,0,70202,-0.7313,10.56747918850026,23.8396,3.77104682764107,"[10.0177, 13.4639, 11.8193, 7.3438, 8.1412, 7.7653, 13.6305, 9.7561, 9.2199, 10.4109]","[18, 18, 17, 17, 16, 16, 16, 16, 16, 16]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
var_25,float64,0,13728,12.7496,13.666969998499793,14.5964,0.28545399872271787,"[13.5965, 13.6062, 13.6693, 13.4506, 13.5399, 13.6445, 13.6469, 13.4376, 13.8769, 13.6387]","[60, 59, 56, 54, 53, 53, 52, 52, 50, 49]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
var_26,float64,0,78260,-24.5361,-3.983721416499935,13.4564,5.945853482476542,"[-4.2819, 0.0096, -7.8902, -2.2483, -10.7433, -8.2576, -5.1906, -7.7076, -10.4497, 1.4679]","[16, 16, 15, 15, 15, 15, 14, 14, 14, 14]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
var_27,float64,0,48428,-6.0409,-1.1295362375000026,3.3713,1.5247652272131351,"[0.4143, -1.5591, -0.9942, -0.545, -1.8513, -2.3680000000000003, -0.5297, -2.4607, -1.8274, -1.3656]","[24, 21, 21, 21, 21, 20, 20, 20, 20, 20]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
var_28,float64,0,31321,2.8425,5.530656125499903,8.4599,0.7856184485465046,"[5.9894, 5.3445, 5.8245, 5.4264, 5.9948, 5.1701, 5.4522, 5.3969, 5.7576, 5.3132]","[32, 31, 30, 30, 29, 29, 28, 28, 28, 28]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
var_29,float64,0,62618,-4.4215,5.047247367500014,12.9532,2.6100784412098954,"[6.8072, 3.5037, 5.7056, 5.5456, 3.838, 2.9552, 7.15, 5.2003, 3.3571, 4.9892]","[22, 22, 20, 19, 19, 18, 18, 18, 17, 17]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
var_30,float64,0,84985,-34.0548,-7.687695017500061,14.3915,7.97158078877788,"[-6.6589, -1.0728, -7.5039, -8.7146, -13.7814, -11.2939, -11.9367, -8.4169, -6.8689, -3.5039]","[15, 14, 14, 13, 13, 13, 13, 13, 12, 12]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
var_31,float64,0,57146,1.3092,10.404919847500016,19.4719,2.156323944383877,"[10.0365, 10.509, 8.9301, 11.3499, 10.7076, 12.085, 11.8306, 9.8355, 12.4816, 10.2055]","[21, 21, 21, 21, 21, 20, 20, 20, 20, 19]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
var_32,float64,0,61890,-8.209,-0.5248298400000104,6.9496,2.5887002291823475,"[-0.1575, 0.4417, -0.1176, 1.2264, -2.5711, 1.9737, -0.8431, 0.1224, -2.884, -0.8679]","[24, 24, 20, 20, 19, 18, 18, 18, 18, 18]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
