,r4,r3,r2,r1,r0
var_000,0.54773,0.5464600000000001,0.54498,0.5455800000000001,0.5451
var_001,0.54582,0.54414,0.54342,0.5435399999999999,0.54332
var_002,0.5506800000000001,0.5479,0.54924,0.5485899999999999,0.5486800000000001
var_003,0.50708,0.50484,0.50295,0.50237,0.50267
var_004,0.50446,0.50526,0.50469,0.5046,0.50532
var_005,0.5272899999999999,0.5281100000000001,0.52712,0.52885,0.529
var_006,0.55695,0.55798,0.55723,0.55709,0.55696
var_007,0.5013,0.50431,0.50112,0.5020100000000001,0.50158
var_008,0.519,0.5163800000000001,0.51698,0.51803,0.51765
var_009,0.5413,0.54189,0.5415399999999999,0.54232,0.54203
var_010,0.49826000000000004,0.49891,0.49709,0.49681000000000003,0.49535
var_011,0.51848,0.5163,0.5151899999999999,0.51526,0.51476
var_012,0.5585399999999999,0.5574,0.5573600000000001,0.5571,0.5574399999999999
var_013,0.55292,0.55195,0.55115,0.5521,0.55199
var_014,0.5015,0.50757,0.5086,0.5079899999999999,0.50785
var_015,0.51354,0.51251,0.5119600000000001,0.51263,0.51239
var_016,0.5060600000000001,0.50334,0.5005,0.501,0.50047
var_017,0.49654,0.49468999999999996,0.49462,0.49633999999999995,0.49571000000000004
var_018,0.5379999999999999,0.53704,0.5363100000000001,0.53659,0.53623
var_019,0.5111100000000001,0.51175,0.51015,0.51094,0.51044
var_020,0.5170100000000001,0.5161,0.51288,0.51349,0.51346
var_021,0.55672,0.5562600000000001,0.55618,0.55592,0.55588
var_022,0.5515800000000001,0.55132,0.55088,0.55093,0.55088
var_023,0.5213800000000001,0.52157,0.52117,0.52085,0.52062
var_024,0.52805,0.52769,0.52762,0.52798,0.528
var_025,0.50659,0.50807,0.50795,0.50854,0.50842
var_026,0.5575600000000001,0.55671,0.55681,0.5563899999999999,0.55614
var_027,0.49601999999999996,0.50384,0.50383,0.5031100000000001,0.50271
var_028,0.5208699999999999,0.52141,0.52064,0.5209699999999999,0.5210600000000001
var_029,0.49444,0.50073,0.5011399999999999,0.50003,0.50054
var_030,0.4958,0.49407,0.49087,0.49606999999999996,0.49638000000000004
var_031,0.52468,0.52373,0.5238,0.52386,0.52374
var_032,0.5273899999999999,0.52657,0.52698,0.52635,0.52669
var_033,0.53863,0.53788,0.53681,0.53792,0.53813
var_034,0.5432100000000001,0.5442899999999999,0.5434899999999999,0.54319,0.54332
var_035,0.5347,0.53404,0.5335,0.53359,0.53328
var_036,0.53688,0.53828,0.53771,0.5373100000000001,0.5374899999999999
var_037,0.5035,0.5034,0.5060899999999999,0.50595,0.50565
var_038,0.50012,0.49551999999999996,0.49204,0.4938,0.49398000000000003
var_039,0.50115,0.49758,0.49861000000000005,0.49837,0.49786
var_040,0.5444100000000001,0.5438,0.54442,0.54433,0.54423
var_041,0.50073,0.49817,0.49813,0.49815,0.5000600000000001
var_042,0.50364,0.50529,0.50481,0.50445,0.50453
var_043,0.52383,0.52341,0.5226,0.52242,0.52256
var_044,0.54242,0.54361,0.54173,0.54127,0.5414100000000001
var_045,0.51594,0.51708,0.51917,0.5198699999999999,0.5191399999999999
var_046,0.49956999999999996,0.50264,0.50132,0.50158,0.5028699999999999
var_047,0.50234,0.50253,0.50329,0.50449,0.50349
var_048,0.5323399999999999,0.53104,0.5309699999999999,0.53122,0.53081
var_049,0.52644,0.5269,0.5282,0.52765,0.52764
var_050,0.51183,0.51142,0.51126,0.51113,0.51246
var_051,0.52293,0.52556,0.52364,0.52372,0.52337
var_052,0.52833,0.52809,0.52655,0.5270100000000001,0.52699
var_053,0.55347,0.55361,0.5533600000000001,0.55332,0.55348
var_054,0.51804,0.5173,0.51599,0.51579,0.51582
var_055,0.5118199999999999,0.51126,0.51122,0.51194,0.51121
var_056,0.52736,0.52689,0.52598,0.52618,0.52595
var_057,0.51259,0.51178,0.51325,0.5136,0.51358
var_058,0.52518,0.52409,0.5233,0.5233800000000001,0.52327
var_059,0.50475,0.50578,0.5039399999999999,0.50355,0.5036
var_060,0.5012800000000001,0.50722,0.5062,0.50684,0.50654
var_061,0.50594,0.50442,0.50353,0.50351,0.50375
var_062,0.50855,0.51063,0.5111399999999999,0.50977,0.51022
var_063,0.51022,0.51007,0.50905,0.50832,0.50766
var_064,0.5069100000000001,0.50768,0.5072399999999999,0.50722,0.5072
var_065,0.50847,0.5067,0.50495,0.50472,0.5044
var_066,0.5180100000000001,0.51999,0.5200100000000001,0.52005,0.52018
var_067,0.54304,0.5422,0.54203,0.54194,0.54219
var_068,0.5092899999999999,0.50815,0.50812,0.5082,0.5079899999999999
var_069,0.5030600000000001,0.5111,0.51408,0.51326,0.51293
var_070,0.52468,0.52389,0.52623,0.5273,0.52735
var_071,0.5294800000000001,0.52889,0.5290600000000001,0.52893,0.52909
var_072,0.51015,0.5073,0.5080600000000001,0.5080100000000001,0.50748
var_073,0.5009100000000001,0.50546,0.50537,0.50754,0.50734
var_074,0.51942,0.52191,0.52278,0.52162,0.52148
var_075,0.53761,0.5372399999999999,0.53662,0.5362,0.53606
var_076,0.5606300000000001,0.55967,0.55905,0.5585899999999999,0.55881
var_077,0.51379,0.51117,0.51066,0.50941,0.50958
var_078,0.54173,0.53982,0.54038,0.5404399999999999,0.5403100000000001
var_079,0.49966000000000005,0.5009100000000001,0.49911000000000005,0.50005,0.50057
var_080,0.55819,0.55738,0.55791,0.55762,0.55742
var_081,0.57294,0.56942,0.56991,0.57002,0.57025
var_082,0.51941,0.52013,0.51881,0.518,0.5183800000000001
var_083,0.51778,0.51553,0.5145,0.5153300000000001,0.5154
var_084,0.50627,0.50755,0.50739,0.50552,0.5058699999999999
var_085,0.5201600000000001,0.518,0.51759,0.51753,0.518
var_086,0.5381100000000001,0.5376,0.53566,0.53501,0.53475
var_087,0.53469,0.53363,0.53488,0.5343100000000001,0.53452
var_088,0.5182399999999999,0.51617,0.5153,0.51505,0.51477
var_089,0.53269,0.53185,0.5321,0.53149,0.53158
var_090,0.52687,0.52799,0.52837,0.52842,0.5284
var_091,0.53452,0.53304,0.53291,0.53315,0.53308
var_092,0.54155,0.53956,0.53973,0.54095,0.54089
var_093,0.52552,0.52578,0.52682,0.5277,0.52649
var_094,0.54273,0.5421699999999999,0.54297,0.54298,0.5423
var_095,0.5341899999999999,0.53109,0.53122,0.53094,0.5314800000000001
var_096,0.49353,0.49588000000000004,0.49699,0.49656000000000006,0.49722
var_097,0.51294,0.51227,0.51358,0.5135,0.5142100000000001
var_098,0.49813,0.5008199999999999,0.50015,0.50066,0.50067
var_099,0.55003,0.5514899999999999,0.55113,0.55094,0.55071
var_100,0.49795,0.49888000000000005,0.4994,0.49938,0.49863999999999997
var_101,0.5057,0.50854,0.50981,0.50921,0.50939
var_102,0.51872,0.51679,0.51652,0.5159699999999999,0.51565
var_103,0.49558,0.49908,0.49683999999999995,0.49777,0.49743000000000004
var_104,0.52388,0.5225,0.52278,0.5229600000000001,0.5224
var_105,0.5210100000000001,0.52293,0.5223,0.5220199999999999,0.5221
var_106,0.52867,0.52672,0.52723,0.52617,0.52655
var_107,0.53763,0.5382399999999999,0.5387,0.53791,0.53799
var_108,0.5443100000000001,0.54276,0.54314,0.54282,0.5425800000000001
var_109,0.54203,0.54367,0.54262,0.5432600000000001,0.54323
var_110,0.55769,0.55688,0.5556399999999999,0.55478,0.55477
var_111,0.5220899999999999,0.5199699999999999,0.5200199999999999,0.52022,0.5198
