feature,split,gain,total
f001_var_147,1.0,1.0,2.0
f003_var_103_r3,0.825,0.7668354227613072,1.5918354227613072
f001_var_88,0.75,0.7546560691135052,1.5046560691135054
f003_var_173_r2,0.7,0.6769738646723202,1.3769738646723202
f003_var_94_r2,0.7,0.6617827758584618,1.3617827758584617
f001_var_14,0.675,0.6576990694513544,1.3326990694513543
f003_var_142_r1,0.65,0.6430081542741272,1.2930081542741272
f003_var_55_r1,0.675,0.6042067159246853,1.2792067159246854
f003_var_47_r2,0.65,0.6197910121529537,1.2697910121529539
f001_var_187,0.65,0.610761728733299,1.260761728733299
f001_var_91,0.65,0.6098699919995615,1.2598699919995615
f003_var_8_r2,0.65,0.606318751676489,1.2563187516764889
f003_var_43_r2,0.65,0.60578898666895,1.25578898666895
f003_var_78_r1,0.65,0.6031918160205832,1.2531918160205833
f003_var_170_r3,0.65,0.6026096568922813,1.2526096568922813
f003_var_81_r1,0.6,0.609472410658854,1.209472410658854
f001_var_135,0.625,0.5741594812933011,1.199159481293301
f003_var_55_r3,0.625,0.5718859790774423,1.1968859790774422
f001_var_113,0.625,0.5616749768043207,1.1866749768043205
f001_var_15,0.6,0.5755606298525305,1.1755606298525305
f003_var_182_r1,0.625,0.5378667279747625,1.1628667279747624
f003_var_180_r2,0.6,0.5591786717073572,1.1591786717073571
f001_var_184,0.6,0.5345555801699429,1.134555580169943
f003_var_82_r2,0.575,0.5403588229431031,1.115358822943103
f003_var_100_r1,0.55,0.564343377249297,1.114343377249297
f003_var_31_r1,0.575,0.5316921780646975,1.1066921780646974
f001_var_192,0.575,0.5297419469398905,1.1047419469398905
f001_var_68,0.575,0.529449066129696,1.104449066129696
f001_var_85,0.575,0.5281808642174352,1.103180864217435
f003_var_37_r2,0.575,0.5279283854246872,1.1029283854246872
f001_var_72,0.575,0.5141796978786549,1.089179697878655
f003_var_158_r1,0.55,0.5320694146774313,1.0820694146774312
f003_var_114_r2,0.55,0.5291892766768547,1.0791892766768547
f001_var_114,0.55,0.5229714228886003,1.0729714228886005
f003_var_168_r1,0.525,0.5469550366791129,1.071955036679113
f003_var_125_r3,0.55,0.5161778477490446,1.0661778477490447
f001_var_134,0.55,0.5139949541798672,1.0639949541798672
f003_var_126,0.525,0.5359077268054173,1.0609077268054175
f003_var_192_r2,0.55,0.509760532776729,1.059760532776729
f003_var_105_r3,0.55,0.5069671916924262,1.0569671916924261
f003_var_190_r1,0.55,0.5043519673700152,1.0543519673700152
f001_var_40,0.525,0.5280246392789747,1.0530246392789748
f003_var_7_r2,0.55,0.5016660870712362,1.0516660870712362
f003_var_165_r1,0.525,0.5224431119817101,1.04744311198171
f001_var_50,0.525,0.5104371968228547,1.0354371968228548
f001_var_161,0.525,0.5085481393741818,1.0335481393741817
f003_var_143_r2,0.525,0.505367935657661,1.0303679356576612
f001_var_153,0.525,0.49867826530894627,1.0236782653089462
f001_var_42,0.525,0.49627728940197685,1.0212772894019768
f003_var_193_r2,0.525,0.495420310534839,1.020420310534839
f003_var_171_r1,0.525,0.4914875579513399,1.01648755795134
f003_var_169_r3,0.525,0.490921211110835,1.015921211110835
f003_var_152_r1,0.525,0.48982560439368517,1.0148256043936852
f003_var_120_r2,0.525,0.48853706726428336,1.0135370672642834
f003_var_101_r2,0.525,0.4876464010276078,1.0126464010276077
f003_var_166_r2,0.525,0.48625521559404505,1.011255215594045
f003_var_75_r2,0.525,0.4827631347640857,1.0077631347640859
f003_var_122_r2,0.5,0.5027341028626298,1.0027341028626298
f003_var_159_r2,0.525,0.47684243954723704,1.0018424395472372
f003_var_151_r1,0.475,0.5168052488518947,0.9918052488518947
f003_var_102_r1,0.5,0.4916138829452084,0.9916138829452084
f001_var_180,0.5,0.4897469719989322,0.9897469719989322
f003_var_16_r1,0.525,0.46237592824129115,0.9873759282412912
f001_var_97,0.5,0.4753734174585933,0.9753734174585933
f001_var_108,0.475,0.4998289006475259,0.9748289006475259
