feature,split,gain,total
f001_var_199,0.9755163817663818,1.0,1.975516381766382
f002_var_199_r1,1.0,0.865745789995906,1.865745789995906
f002_var_199_r2,0.9239672364672364,0.7971260152008967,1.7210932516681332
f004_var_199,0.6183226495726496,0.49671757633807545,1.115040225910725
f002_var_199_r3,0.5446937321937322,0.44068412408545615,0.9853778562791884
f002_var_199_r0,0.41248219373219375,0.34306975853790866,0.7555519522701024
f002_var_199,0.33262108262108264,0.29598683343760385,0.6286079160586865
f004_var_199_r3,0.25231481481481477,0.19574862988717467,0.44806344470198944
f004_var_199_r1,0.20619658119658119,0.20926068051913493,0.4154572617157161
f004_var_199_r2,0.17102920227920226,0.16288800238363896,0.33391720466284125
f004_var_199_r0,0.0,0.0,0.0
